base_id,original_pdb,watermarked_pdb,bit_label,E_original,E_watermarked,delta_E
1AD9,1AD9.pdb,1AD9_12bit_100111001011.pdb,12bit_100111001011,112.4153198,112.4144498,-0.000870015
1AEB,1AEB.pdb,1AEB_12bit_100001001001.pdb,12bit_100001001001,26.76727573,26.96076959,0.193493857
1AEN,1AEN.pdb,1AEN_12bit_111111011001.pdb,12bit_111111011001,-106.4920558,-106.4532245,0.038831316
1AG4,1AG4.pdb,1AG4_12bit_110000100111.pdb,12bit_110000100111,998.9996013,998.7907855,-0.208815776
1AJD,1AJD.pdb,1AJD_12bit_010100100111.pdb,12bit_010100100111,1431.971459,1432.102175,0.130716254
1AJH,1AJH.pdb,1AJH_12bit_000110001011.pdb,12bit_000110001011,-167.7154637,-167.8787832,-0.163319511
1ANE,1ANE.pdb,1ANE_12bit_011101001110.pdb,12bit_011101001110,-3.045293618,-3.205108214,-0.159814596
1AQI,1AQI.pdb,1AQI_12bit_010010101011.pdb,12bit_010010101011,721.0920085,720.947537,-0.144471475
1AR1,1AR1.pdb,1AR1_12bit_101101000100.pdb,12bit_101101000100,1473.402269,1473.190697,-0.211571846
1AR4,1AR4.pdb,1AR4_12bit_001100001010.pdb,12bit_001100001010,-177.2431397,-177.223412,0.019727692
1AR8,1AR8.pdb,1AR8_12bit_110111100111.pdb,12bit_110111100111,1378.027764,1377.975392,-0.052372424
1AS4,1AS4.pdb,1AS4_12bit_100110001101.pdb,12bit_100110001101,-434.8239983,-434.8546977,-0.030699393
1AT5,1AT5.pdb,1AT5_12bit_111111001101.pdb,12bit_111111001101,2067.060651,2067.169011,0.108359754
1-Aug,1AUG.pdb,1AUG_12bit_010110011100.pdb,12bit_010110011100,68.27715022,68.50361517,0.226464941
1AUS,1AUS.pdb,1AUS_12bit_010000001001.pdb,12bit_010000001001,232.255461,232.2750469,0.01958585
1AUX,1AUX.pdb,1AUX_12bit_010010101100.pdb,12bit_010010101100,411.3007917,411.3408099,0.040018183
1AV6,1AV6.pdb,1AV6_12bit_100111110110.pdb,12bit_100111110110,306.4348658,306.510418,0.075552207
1AWF,1AWF.pdb,1AWF_12bit_010010011111.pdb,12bit_010010011111,398.8924554,398.7594951,-0.132960355
1AZB,1AZB.pdb,1AZB_12bit_101100100110.pdb,12bit_101100100110,169.3587751,169.6450085,0.286233425
1B0L,1B0L.pdb,1B0L_12bit_110001000100.pdb,12bit_110001000100,1642.326575,1641.967818,-0.358756995
1B0O,1B0O.pdb,1B0O_12bit_110100111111.pdb,12bit_110100111111,933.9529555,934.2543196,0.30136411
1B11,1B11.pdb,1B11_12bit_010111011010.pdb,12bit_010111011010,3103.914692,3103.852679,-0.062013082
1B2X,1B2X.pdb,1B2X_12bit_000101001110.pdb,12bit_000101001110,-330.7886403,-330.7327854,0.055854883
1B3T,1B3T.pdb,1B3T_12bit_111111111011.pdb,12bit_111111111011,162.5155877,162.7807724,0.265184705
1B4S,1B4S.pdb,1B4S_12bit_010001111010.pdb,12bit_010001111010,424.2031562,424.095129,-0.108027149
1B5F,1B5F.pdb,1B5F_12bit_011111001100.pdb,12bit_011111001100,14703.83913,14704.062,0.222871409
1B5Q,1B5Q.pdb,1B5Q_12bit_111100010011.pdb,12bit_111100010011,3962.259495,3962.185468,-0.074027568
1B67,1B67.pdb,1B67_12bit_000000010011.pdb,12bit_000000010011,89.14045197,89.04683981,-0.093612151
1B72,1B72.pdb,1B72_12bit_100010011101.pdb,12bit_100010011101,142.0542384,141.9692996,-0.084938882
1B7A,1B7A.pdb,1B7A_12bit_111001001010.pdb,12bit_111001001010,117.5005893,117.0668932,-0.433696055
1B87,1B87.pdb,1B87_12bit_100010000110.pdb,12bit_100010000110,-26.78253363,-26.82549469,-0.042961062
1B8L,1B8L.pdb,1B8L_12bit_000001001100.pdb,12bit_000001001100,-172.6167408,-172.48151,0.135230871
1B9K,1B9K.pdb,1B9K_12bit_011010101001.pdb,12bit_011010101001,-278.272872,-278.3044627,-0.031590685
1B9L,1B9L.pdb,1B9L_12bit_101111111100.pdb,12bit_101111111100,843.7913605,842.8188538,-0.97250672
1B9T,1B9T.pdb,1B9T_12bit_011111010100.pdb,12bit_011111010100,1516.008659,1516.453237,0.444577841
1BBW,1BBW.pdb,1BBW_12bit_010010100010.pdb,12bit_010010100010,1618.395415,1618.768958,0.373543029
1BC3,1BC3.pdb,1BC3_12bit_000101010010.pdb,12bit_000101010010,225.4884436,225.9350122,0.446568583
1BDX,1BDX.pdb,1BDX_12bit_001111111001.pdb,12bit_001111111001,0.0,0.0,0.0
1BG3,1BG3.pdb,1BG3_12bit_001110101110.pdb,12bit_001110101110,2892.653821,2892.942802,0.288980942
1BG6,1BG6.pdb,1BG6_12bit_000000101000.pdb,12bit_000000101000,428.2825597,428.2150905,-0.067469285
1BHF,1BHF.pdb,1BHF_12bit_101011100101.pdb,12bit_101011100101,261.4441103,261.6330734,0.188963151
1BID,1BID.pdb,1BID_12bit_010111001110.pdb,12bit_010111001110,335.4142995,335.3777958,-0.036503752
1BIL,1BIL.pdb,1BIL_12bit_101101010001.pdb,12bit_101101010001,2702.108236,2702.313021,0.204784777
1BIO,1BIO.pdb,1BIO_12bit_001001110001.pdb,12bit_001001110001,-121.5373256,-121.8675046,-0.330178999
1BJF,1BJF.pdb,1BJF_12bit_000011110111.pdb,12bit_000011110111,439.5663803,439.3546878,-0.211692561
1BK7,1BK7.pdb,1BK7_12bit_111001110010.pdb,12bit_111001110010,-127.0053786,-126.9858043,0.01957428
1BLI,1BLI.pdb,1BLI_12bit_000001001001.pdb,12bit_000001001001,-444.2300075,-443.8827914,0.347216106
1BMK,1BMK.pdb,1BMK_12bit_010101011011.pdb,12bit_010101011011,824.270783,824.1304379,-0.140345093
1BMX,1BMX.pdb,1BMX_12bit_101010111000.pdb,12bit_101010111000,3136802.178,3136801.193,-0.985251633
1BNV,1BNV.pdb,1BNV_12bit_110000100100.pdb,12bit_110000100100,-43.23382027,-43.38011443,-0.146294166
1BOG,1BOG.pdb,1BOG_12bit_001001001011.pdb,12bit_001001001011,1325.22395,1325.694923,0.470972154
1BP0,1BP0.pdb,1BP0_12bit_101100001111.pdb,12bit_101100001111,158.7010604,158.7407461,0.039685635
1BP3,1BP3.pdb,1BP3_12bit_011101001100.pdb,12bit_011101001100,2995.729741,2996.528654,0.798913242
1BPL,1BPL.pdb,1BPL_12bit_010010011010.pdb,12bit_010010011010,-166.5694721,-166.6722384,-0.102766362
1BPY,1BPY.pdb,1BPY_12bit_100001010101.pdb,12bit_100001010101,2452.444737,2452.074324,-0.370413546
1BR5,1BR5.pdb,1BR5_12bit_011001011100.pdb,12bit_011001011100,1087.953631,1087.877675,-0.075955522
1BRT,1BRT.pdb,1BRT_12bit_010001110010.pdb,12bit_010001110010,-514.3554596,-514.3492318,0.006227753
1BSV,1BSV.pdb,1BSV_12bit_101100100101.pdb,12bit_101100100101,-81.59763928,-81.53096426,0.066675022
1BTY,1BTY.pdb,1BTY_12bit_101110001011.pdb,12bit_101110001011,-382.464653,-382.7170199,-0.252366941
1BV9,1BV9.pdb,1BV9_12bit_010011101110.pdb,12bit_010011101110,352.7537593,353.0015888,0.247829522
1BVN,1BVN.pdb,1BVN_12bit_011001101000.pdb,12bit_011001101000,2361.538748,2361.552518,0.013770003
1BWD,1BWD.pdb,1BWD_12bit_010111010001.pdb,12bit_010111010001,2886.906903,2886.670127,-0.236776421
1BXV,1BXV.pdb,1BXV_12bit_110110001010.pdb,12bit_110110001010,-31.17181221,-31.50996707,-0.338154868
1BY5,1BY5.pdb,1BY5_12bit_011100010110.pdb,12bit_011100010110,2429.481554,2429.713504,0.231949473
1BYI,1BYI.pdb,1BYI_12bit_000101101111.pdb,12bit_000101101111,-270.848522,-270.6978804,0.150641512
1BZ7,1BZ7.pdb,1BZ7_12bit_001011001010.pdb,12bit_001011001010,1573.798773,1574.089943,0.291170116
1BZL,1BZL.pdb,1BZL_12bit_010100010101.pdb,12bit_010100010101,-557.4382633,-557.3611754,0.077087937
1BZZ,1BZZ.pdb,1BZZ_12bit_010000100001.pdb,12bit_010000100001,-376.3734193,-376.5814488,-0.208029538
1C3W,1C3W.pdb,1C3W_12bit_101100010110.pdb,12bit_101100010110,40019.51916,40019.27828,-0.240885584
1C5E,1C5E.pdb,1C5E_12bit_110111101010.pdb,12bit_110111101010,-456.8674131,-456.9821511,-0.114737949
1C6G,1C6G.pdb,1C6G_12bit_010011110101.pdb,12bit_010011110101,-13.51949967,-13.28794955,0.231550114
1C7W,1C7W.pdb,1C7W_12bit_000000101100.pdb,12bit_000000101100,277.9191547,278.3777419,0.458587198
1C7Y,1C7Y.pdb,1C7Y_12bit_101000111100.pdb,12bit_101000111100,2426015.631,2426015.534,-0.097036885
1C92,1C92.pdb,1C92_12bit_111101111101.pdb,12bit_111101111101,125.9695091,125.8135627,-0.155946363
1C9D,1C9D.pdb,1C9D_12bit_111001101010.pdb,12bit_111001101010,1425.705969,1425.269676,-0.436293381
1C9I,1C9I.pdb,1C9I_12bit_011110111111.pdb,12bit_011110111111,3327.593189,3327.384269,-0.208920139
1C9O,1C9O.pdb,1C9O_12bit_000111001110.pdb,12bit_000111001110,-132.7242794,-132.814139,-0.089859624
1CA7,1CA7.pdb,1CA7_12bit_101100101100.pdb,12bit_101100101100,-223.1156762,-223.1234163,-0.007740097
1CA8,1CA8.pdb,1CA8_12bit_101101001011.pdb,12bit_101101001011,2828.768596,2829.642981,0.874385061
1CBW,1CBW.pdb,1CBW_12bit_100011001010.pdb,12bit_100011001010,743.0637982,742.7382796,-0.325518615
1CCA,1CCA.pdb,1CCA_12bit_101110000000.pdb,12bit_101110000000,-389.266042,-389.3671462,-0.10110429
1CCR,1CCR.pdb,1CCR_12bit_000001110110.pdb,12bit_000001110110,-5.162330257,-5.081357824,0.080972433
1CDM,1CDM.pdb,1CDM_12bit_110011000010.pdb,12bit_110011000010,-19.21470956,-19.1960248,0.018684766
1CDW,1CDW.pdb,1CDW_12bit_100010000100.pdb,12bit_100010000100,6.864383926,6.855880879,-0.008503047
1CE0,1CE0.pdb,1CE0_12bit_101100110110.pdb,12bit_101100110110,597.7779435,598.3450145,0.567070974
1CEA,1CEA.pdb,1CEA_12bit_110101110010.pdb,12bit_110101110010,1571.130294,1570.663511,-0.466782552
1CHW,1CHW.pdb,1CHW_12bit_001110110000.pdb,12bit_001110110000,273.3093445,273.2722717,-0.037072754
1CIZ,1CIZ.pdb,1CIZ_12bit_011111100010.pdb,12bit_011111100010,-145.505723,-145.299873,0.205849993
1CK0,1CK0.pdb,1CK0_12bit_000010001010.pdb,12bit_000010001010,366.7359501,366.6952523,-0.040697816
1CKJ,1CKJ.pdb,1CKJ_12bit_100111001000.pdb,12bit_100111001000,302.9101744,302.6319519,-0.278222495
1CLY,1CLY.pdb,1CLY_12bit_001100101001.pdb,12bit_001100101001,3801.312059,3801.332442,0.020382886
1CM5,1CM5.pdb,1CM5_12bit_011001010100.pdb,12bit_011001010100,-1692.686439,-1692.756563,-0.070124062
1CMY,1CMY.pdb,1CMY_12bit_100110001101.pdb,12bit_100110001101,4125.221139,4124.666355,-0.554784124
1CNW,1CNW.pdb,1CNW_12bit_110010110001.pdb,12bit_110010110001,203.3391012,203.3389083,-0.000192953
1CRQ,1CRQ.pdb,1CRQ_12bit_011000010110.pdb,12bit_011000010110,855.7141605,855.6805602,-0.033600319
1CTT,1CTT.pdb,1CTT_12bit_111011111111.pdb,12bit_111011111111,649.164023,649.2155659,0.051542887
1CW1,1CW1.pdb,1CW1_12bit_110001110001.pdb,12bit_110001110001,-432.6775588,-432.8107407,-0.133181903
1CWR,1CWR.pdb,1CWR_12bit_101111110111.pdb,12bit_101111110111,107.1413327,106.9840507,-0.157281959
1CXE,1CXE.pdb,1CXE_12bit_111101111110.pdb,12bit_111101111110,3779.969004,3779.714948,-0.254056605
1CZ4,1CZ4.pdb,1CZ4_12bit_110110110110.pdb,12bit_110110110110,1228.371738,1228.248758,-0.122980229
1D02,1D02.pdb,1D02_12bit_111000101000.pdb,12bit_111000101000,-575.6135098,-575.4890984,0.12441144
1D1M,1D1M.pdb,1D1M_12bit_101000000101.pdb,12bit_101000000101,538.0906233,537.5415002,-0.549123106
1D1Q,1D1Q.pdb,1D1Q_12bit_001100101111.pdb,12bit_001100101111,-105.0038522,-105.1538178,-0.149965604
1D2F,1D2F.pdb,1D2F_12bit_111011101110.pdb,12bit_111011101110,227.2953901,227.3787144,0.083324299
1D2H,1D2H.pdb,1D2H_12bit_110101110011.pdb,12bit_110101110011,15623.47193,15623.67558,0.203651956
1D4E,1D4E.pdb,1D4E_12bit_010111001001.pdb,12bit_010111001001,3626.515042,3625.89733,-0.617711932
1D4Z,1D4Z.pdb,1D4Z_12bit_100010110000.pdb,12bit_100010110000,-203.1510229,-203.1578094,-0.006786579
1D5R,1D5R.pdb,1D5R_12bit_001111110010.pdb,12bit_001111110010,636.727262,636.7802102,0.052948152
1D6I,1D6I.pdb,1D6I_12bit_011000010100.pdb,12bit_011000010100,522.3718093,522.5064674,0.134658076
1D6M,1D6M.pdb,1D6M_12bit_100000010011.pdb,12bit_100000010011,1763.725676,1763.908477,0.182800658
1D7M,1D7M.pdb,1D7M_12bit_001110101011.pdb,12bit_001110101011,627.4139147,627.3632105,-0.050704184
1D8C,1D8C.pdb,1D8C_12bit_101100000010.pdb,12bit_101100000010,527.2745698,526.8710774,-0.403492354
1D9I,1D9I.pdb,1D9I_12bit_011010100011.pdb,12bit_011010100011,2427.309051,2426.654198,-0.654852088
1DAI,1DAI.pdb,1DAI_12bit_000101000101.pdb,12bit_000101000101,-205.9120179,-205.6599296,0.252088252
1DCN,1DCN.pdb,1DCN_12bit_111010010011.pdb,12bit_111010010011,2249.931454,2250.230741,0.299287569
1DCZ,1DCZ.pdb,1DCZ_12bit_000011000010.pdb,12bit_000011000010,112.6398086,112.6032094,-0.036599214
1DFF,1DFF.pdb,1DFF_12bit_110100110111.pdb,12bit_110100110111,440.7920214,440.9722099,0.180188495
1DFU,1DFU.pdb,1DFU_12bit_000100110101.pdb,12bit_000100110101,99.72897555,99.6207682,-0.108207348
1DG8,1DG8.pdb,1DG8_12bit_100001110100.pdb,12bit_100001110100,30.85656667,30.86519213,0.008625469
1DGW,1DGW.pdb,1DGW_12bit_010010000110.pdb,12bit_010010000110,738.5920376,738.6760689,0.084031266
1DHR,1DHR.pdb,1DHR_12bit_100111011000.pdb,12bit_100111011000,151.8875429,151.6151891,-0.272353789
1DJB,1DJB.pdb,1DJB_12bit_000001111100.pdb,12bit_000001111100,142.9373364,142.6693171,-0.268019262
1DJQ,1DJQ.pdb,1DJQ_12bit_010011001011.pdb,12bit_010011001011,-2034.870729,-2034.743517,0.127212082
1DKL,1DKL.pdb,1DKL_12bit_000111101011.pdb,12bit_000111101011,-28.05166272,-27.9931807,0.058482019
1DM1,1DM1.pdb,1DM1_12bit_111101110110.pdb,12bit_111101110110,-115.6066268,-115.7503721,-0.143745313
1DM8,1DM8.pdb,1DM8_12bit_000000110000.pdb,12bit_000000110000,-308.57395,-308.4321667,0.141783299
1DMA,1DMA.pdb,1DMA_12bit_110100100111.pdb,12bit_110100100111,2063.220524,2062.296965,-0.923559401
1DMW,1DMW.pdb,1DMW_12bit_011111000100.pdb,12bit_011111000100,-255.865198,-255.9816472,-0.116449254
1DNU,1DNU.pdb,1DNU_12bit_000000111000.pdb,12bit_000000111000,13157.64286,13157.97066,0.327800285
1DOR,1DOR.pdb,1DOR_12bit_000001010101.pdb,12bit_000001010101,-945.0432168,-945.072559,-0.029342201
1DOV,1DOV.pdb,1DOV_12bit_100101110111.pdb,12bit_100101110111,250.5856201,250.3464638,-0.239156317
1DQY,1DQY.pdb,1DQY_12bit_000101010111.pdb,12bit_000101010111,-293.1160386,-293.2213622,-0.105323558
1DS3,1DS3.pdb,1DS3_12bit_101100100001.pdb,12bit_101100100001,1516.04816,1516.603498,0.555338387
1DS6,1DS6.pdb,1DS6_12bit_101101100110.pdb,12bit_101101100110,-33.87503173,-33.72082836,0.154203371
1DSN,1DSN.pdb,1DSN_12bit_000111111110.pdb,12bit_000111111110,1267.486031,1267.84983,0.363799369
1DSS,1DSS.pdb,1DSS_12bit_010001100100.pdb,12bit_010001100100,-492.1645162,-492.1164939,0.048022312
1DUN,1DUN.pdb,1DUN_12bit_111000100001.pdb,12bit_111000100001,-7.032496191,-7.19311477,-0.160618579
1DV6,1DV6.pdb,1DV6_12bit_110101111010.pdb,12bit_110101111010,5188.623922,5188.530469,-0.093453023
1DX0,1DX0.pdb,1DX0_12bit_100011010111.pdb,12bit_100011010111,350.6168644,350.7348999,0.118035558
1DXJ,1DXJ.pdb,1DXJ_12bit_011111001011.pdb,12bit_011111001011,-247.1557739,-247.45061,-0.294836063
1DZ6,1DZ6.pdb,1DZ6_12bit_000010100000.pdb,12bit_000010100000,-373.6763127,-373.51433,0.161982685
1.00E+03,1E03.pdb,1E03_12bit_000001000110.pdb,12bit_000001000110,14316.70927,14316.57813,-0.131145586
1E0J,1E0J.pdb,1E0J_12bit_110011100101.pdb,12bit_110011100101,8967.12589,8967.373464,0.2475744
1E0P,1E0P.pdb,1E0P_12bit_011110101111.pdb,12bit_011110101111,70.47694532,70.54016523,0.063219914
1.00E+24,1E24.pdb,1E24_12bit_111000111110.pdb,12bit_111000111110,-247.2229654,-247.2375584,-0.014592983
1E2R,1E2R.pdb,1E2R_12bit_111010000011.pdb,12bit_111010000011,-1721.322536,-1721.227402,0.0951334
1E4I,1E4I.pdb,1E4I_12bit_011110101000.pdb,12bit_011110101000,419.9729285,419.5174292,-0.455499344
1E4Y,1E4Y.pdb,1E4Y_12bit_001101001110.pdb,12bit_001101001110,2629.949509,2629.997071,0.047561599
1E7K,1E7K.pdb,1E7K_12bit_110111110001.pdb,12bit_110111110001,1553.616342,1553.529862,-0.08647989
1.00E+87,1E87.pdb,1E87_12bit_001000010111.pdb,12bit_001000010111,-58.69344208,-58.81472863,-0.121286551
1E8U,1E8U.pdb,1E8U_12bit_110011110100.pdb,12bit_110011110100,1640.570108,1640.536123,-0.0339855
1EA9,1EA9.pdb,1EA9_12bit_000110001000.pdb,12bit_000110001000,10155.28013,10155.75384,0.473710463
1EB2,1EB2.pdb,1EB2_12bit_010100101011.pdb,12bit_010100101011,-265.2677567,-265.6899663,-0.42220955
1EB8,1EB8.pdb,1EB8_12bit_100001010100.pdb,12bit_100001010100,-116.8180887,-116.7973666,0.020722013
1EB9,1EB9.pdb,1EB9_12bit_000100000101.pdb,12bit_000100000101,-92.99532428,-92.84815961,0.147164664
1EBD,1EBD.pdb,1EBD_12bit_001100100111.pdb,12bit_001100100111,1243.826047,1243.943869,0.117822459
1EC8,1EC8.pdb,1EC8_12bit_101011110110.pdb,12bit_101011110110,981.1346244,981.0361552,-0.098469247
1EE2,1EE2.pdb,1EE2_12bit_001101011100.pdb,12bit_001101011100,-1147.328424,-1147.239441,0.088983221
1EED,1EED.pdb,1EED_12bit_111101011110.pdb,12bit_111101011110,-10.79503138,-10.8112713,-0.01623992
1EFI,1EFI.pdb,1EFI_12bit_110011101111.pdb,12bit_110011101111,-402.450041,-402.5092849,-0.059243905
1EGD,1EGD.pdb,1EGD_12bit_100000100001.pdb,12bit_100000100001,1740.230241,1740.303805,0.073563071
1EGE,1EGE.pdb,1EGE_12bit_101001110101.pdb,12bit_101001110101,3900.592571,3900.666563,0.073991978
1EH4,1EH4.pdb,1EH4_12bit_100000000001.pdb,12bit_100000000001,3538.143338,3537.982321,-0.161017116
1EHB,1EHB.pdb,1EHB_12bit_011110100111.pdb,12bit_011110100111,-72.45296439,-72.43782042,0.015143967
1EI1,1EI1.pdb,1EI1_12bit_111111010011.pdb,12bit_111111010011,1036.736878,1036.657275,-0.079602911
1EIL,1EIL.pdb,1EIL_12bit_101000110000.pdb,12bit_101000110000,-13.31218093,-13.32693003,-0.0147491
1EIQ,1EIQ.pdb,1EIQ_12bit_010111011111.pdb,12bit_010111011111,-17.4156824,-17.49271448,-0.07703208
1EK3,1EK3.pdb,1EK3_12bit_011101010111.pdb,12bit_011101010111,-399.1220173,-399.1850443,-0.063027034
1EM7,1EM7.pdb,1EM7_12bit_111111111111.pdb,12bit_111111111111,114.8341316,114.8950563,0.06092467
1ENO,1ENO.pdb,1ENO_12bit_101110001101.pdb,12bit_101110001101,320.5223999,321.0979433,0.575543448
1EOC,1EOC.pdb,1EOC_12bit_100010010001.pdb,12bit_100010010001,-263.7964519,-263.7134997,0.082952187
1EOK,1EOK.pdb,1EOK_12bit_101100000001.pdb,12bit_101100000001,-133.2225788,-133.3743177,-0.151738901
1EPQ,1EPQ.pdb,1EPQ_12bit_011010000001.pdb,12bit_011010000001,-1.663199287,-1.669263999,-0.006064712
1EPZ,1EPZ.pdb,1EPZ_12bit_001101011111.pdb,12bit_001101011111,-223.4475846,-223.3865592,0.061025345
1EQN,1EQN.pdb,1EQN_12bit_100111101010.pdb,12bit_100111101010,6101.96591,6102.379577,0.413666852
1EQU,1EQU.pdb,1EQU_12bit_111001100010.pdb,12bit_111001100010,3215.626191,3215.298919,-0.327271676
1ERN,1ERN.pdb,1ERN_12bit_010000000000.pdb,12bit_010000000000,1314.835344,1314.746521,-0.088822533
1ERW,1ERW.pdb,1ERW_12bit_000110100010.pdb,12bit_000110100010,-36.13929266,-35.89068951,0.248603149
1ERZ,1ERZ.pdb,1ERZ_12bit_111010100110.pdb,12bit_111010100110,-859.2406242,-859.2537785,-0.013154286
1ES8,1ES8.pdb,1ES8_12bit_110100101001.pdb,12bit_110100101001,125.0015614,125.1854307,0.18386931
1ETK,1ETK.pdb,1ETK_12bit_010011000110.pdb,12bit_010011000110,15.3431559,15.3912744,0.048118495
1EUC,1EUC.pdb,1EUC_12bit_101010000011.pdb,12bit_101010000011,-140.4326979,-140.3759245,0.056773382
1EUF,1EUF.pdb,1EUF_12bit_000110110111.pdb,12bit_000110110111,904.137009,904.0199495,-0.117059465
1EUN,1EUN.pdb,1EUN_12bit_111000011010.pdb,12bit_111000011010,-211.4500789,-211.7184516,-0.268372729
1EVK,1EVK.pdb,1EVK_12bit_010010011001.pdb,12bit_010010011001,251.839021,251.8520836,0.013062607
1EW0,1EW0.pdb,1EW0_12bit_110110110001.pdb,12bit_110110110001,105.0656591,105.0628803,-0.002778839
1EXD,1EXD.pdb,1EXD_12bit_100110011110.pdb,12bit_100110011110,2613.868041,2613.842229,-0.025811905
1EXJ,1EXJ.pdb,1EXJ_12bit_110010000000.pdb,12bit_110010000000,4972.248431,4972.81185,0.563418818
1EYE,1EYE.pdb,1EYE_12bit_011100111000.pdb,12bit_011100111000,224.2276925,224.0798503,-0.147842264
1F0U,1F0U.pdb,1F0U_12bit_110011000011.pdb,12bit_110011000011,-492.1764641,-492.3082857,-0.131821557
1F0V,1F0V.pdb,1F0V_12bit_011010111101.pdb,12bit_011010111101,-251.5239382,-251.4396577,0.084280474
1F1A,1F1A.pdb,1F1A_12bit_101000010000.pdb,12bit_101000010000,-161.8663247,-161.7988972,0.067427527
1F1C,1F1C.pdb,1F1C_12bit_110010000011.pdb,12bit_110010000011,426.7811959,426.6613977,-0.119798143
1F28,1F28.pdb,1F28_12bit_011011110000.pdb,12bit_011011110000,798.1479509,798.1166262,-0.031324692
1F32,1F32.pdb,1F32_12bit_001011010101.pdb,12bit_001011010101,-34.07118896,-33.84722735,0.22396161
1F42,1F42.pdb,1F42_12bit_010101010010.pdb,12bit_010101010010,2138.511737,2138.394393,-0.117343527
1F6K,1F6K.pdb,1F6K_12bit_111011101000.pdb,12bit_111011101000,-743.5698018,-743.3799628,0.189839019
1F9N,1F9N.pdb,1F9N_12bit_000111111001.pdb,12bit_000111111001,1946.619379,1947.561578,0.942199036
1F9R,1F9R.pdb,1F9R_12bit_010111101101.pdb,12bit_010111101101,462.3393207,462.1935964,-0.14572428
1FBK,1FBK.pdb,1FBK_12bit_001100010001.pdb,12bit_001100010001,1333.566993,1333.292617,-0.274375486
1FBR,1FBR.pdb,1FBR_12bit_100101100000.pdb,12bit_100101100000,797.9367371,797.6775227,-0.259214351
1FDD,1FDD.pdb,1FDD_12bit_000010100111.pdb,12bit_000010100111,36.38433257,36.35557338,-0.02875919
1FDH,1FDH.pdb,1FDH_12bit_110101111111.pdb,12bit_110101111111,5789.024566,5789.134733,0.110167305
1FEZ,1FEZ.pdb,1FEZ_12bit_110100101110.pdb,12bit_110100101110,5675.783295,5675.801087,0.017792048
1FF5,1FF5.pdb,1FF5_12bit_101111111010.pdb,12bit_101111111010,879.5081124,879.6622879,0.154175514
1FFM,1FFM.pdb,1FFM_12bit_011100110010.pdb,12bit_011100110010,999.8851425,999.9848795,0.09973692
1FGV,1FGV.pdb,1FGV_12bit_101001011110.pdb,12bit_101001011110,-146.256632,-146.0787904,0.177841565
1FHG,1FHG.pdb,1FHG_12bit_010110100001.pdb,12bit_010110100001,-102.0441666,-102.0473945,-0.003227881
1FIH,1FIH.pdb,1FIH_12bit_011001101110.pdb,12bit_011001101110,-396.1910271,-396.1832735,0.007753693
1FKW,1FKW.pdb,1FKW_12bit_010101110110.pdb,12bit_010101110110,387.5066378,387.4210684,-0.08556938
