"PDB_ID","Bit_Length","Watermark_Embedded","Watermark_Decoded","Verification_Status","Global_CA_RMSD"
"9CDB","4","11","11","Success","0.00016"
"6CK0","4","0","0","Success","0.00048"
"5CRV","4","0","0","Success","0.00036"
"4WPX","4","10","10","Success","0.00035"
"6KK0","4","1100","1100","Success","0.00039"
"3NFZ","4","100","100","Success","0.00058"
"9EJN","4","1101","1101","Success","0.00017"
"8GC7","4","100","100","Success","0.00059"
"7TAF","4","1","1","Success","0.00035"
"5D17","4","1001","1001","Success","0.00023"
"8E5S","4","1100","1100","Success","0.00051"
"8QN1","4","1000","1000","Success","0.00025"
"5M2A","4","1111","1111","Success","0.00037"
"9BW2","4","0","0","Success","0.0005"
"3VQT","4","11","11","Success","0.00023"
"4WVX","4","110","110","Success","0.00038"
"8OHC","4","110","110","Success","0.00056"
"4HZY","4","1010","1010","Success","0.00049"
"1BIL","4","1011","1011","Success","0.00038"
"8JVS","4","1","1","Success","0.00143"
"6Z6R","4","1100","1100","Success","0.00045"
"8UB8","4","1","1","Success","0.00032"
"6SY4","4","111","111","Success","0.00052"
"6K7P","4","1000","1000","Success","0.00066"
"2YEP","4","0","0","Success","0.00026"
"6NYL","4","1000","1000","Success","0.0001"
"7NYA","4","1111","1111","Success","0.00036"
"5KN4","4","1111","1111","Success","0.0004"
"1T7X","4","0","0","Success","0.00061"
"5D5W","4","1011","1011","Success","0.00096"
"7K5T","4","1011","1011","Success","0.00042"
"1XEZ","4","1011","1011","Success","0.00039"
"1LMJ","4","1011","1011","Success","0.0002"
"8BYK","4","1000","1000","Success","0.00046"
"6IMU","4","1011","1011","Success","0.00032"
"9E6L","4","1110","1110","Success","0.00022"
"4PC2","4","1111","1111","Success","0.00027"
"6BSC","4","101","101","Success","0.00094"
"6CWA","4","1100","1100","Success","0.00041"
"4GL2","4","11","11","Success","0.00028"
"7D2U","4","1000","1000","Success","0.0005"
"1JDA","4","1011","1011","Success","0.00048"
"4F0E","4","1001","1001","Success","0.00035"
"7HGL","4","101","101","Success","0.00061"
"1CRQ","4","1101","1101","Success","0.00078"
"6ZWC","4","111","111","Success","0.0003"
"6UWO","4","1","1","Success","0.00062"
"5FU4","4","100","100","Success","0.00071"
"4EX7","4","11","11","Success","0.00067"
"1D6I","4","101","101","Success","0.00035"
"3EXV","4","0","0","Success","0.00069"
"2VMY","4","100","100","Success","0.00035"
"4MVL","4","1010","1010","Success","0.00037"
"2WBT","4","1100","1100","Success","0.00064"
"8SND","4","100","100","Success","0.00037"
"3CMU","4","1011","1011","Success","0.00022"
"1KD1","4","1000","1000","Success","0.00016"
"6WMQ","4","1110","1110","Success","0.00049"
"9B20","4","1001","1001","Success","0.00049"
"6R2E","4","1101","1101","Success","0.00021"
"5RTR","4","1101","1101","Success","0.00054"
"6CMS","4","1001","1001","Success","0.00043"
"2IV1","4","10","10","Success","0.00025"
"4NNK","4","1001","1001","Success","0.0008"
"4PSM","4","100","100","Success","0.00041"
"8QEN","4","110","110","Success","0.00019"
"6LM2","4","1111","1111","Success","0.00074"
"4DNJ","4","1010","1010","Success","0.0005"
"6Q0B","4","1101","1101","Success","0.00028"
"7KXG","4","1111","1111","Success","0.00024"
"7UJ4","4","1011","1011","Success","0.00033"
"6Y1G","4","1010","1010","Success","0.00033"
"3UOV","4","10","10","Success","0.0003"
"6QTM","4","1111","1111","Success","0.00054"
"1EA9","4","11","11","Success","0.00029"
"3PCX","4","1001","1001","Success","0.00061"
"6B3M","4","1100","1100","Success","0.00014"
"6XB0","4","101","101","Success","0.00055"
"9HNN","4","1001","1001","Success","0.00043"
"5XUB","4","101","101","Success","0.00059"
"4NGE","4","1011","1011","Success","0.00023"
"1RMQ","4","1000","1000","Success","0.00049"
"6FKB","4","111","111","Success","0.00054"
"5Y39","4","1001","1001","Success","0.00033"
"7DHB","4","1011","1011","Success","0.00101"
"1S2H","4","110","110","Success","0.0007"
"2DFX","4","1110","1110","Success","0.00073"
"5I8W","4","11","11","Success","0.00063"
"5CY8","4","1100","1100","Success","0.00076"
"5ZQI","4","110","110","Success","0.00064"
"2BAW","4","101","101","Success","0.00045"
"7MYV","4","1100","1100","Success","0.00046"
"7M3M","4","10","10","Success","0.00043"
"7OYO","4","0","0","Success","0.00061"
"1TLM","4","1","1","Success","0.00062"
"2C01","4","1110","1110","Success","0.00086"
"8Z6G","4","10","10","Success","0.00037"
"4D6C","4","10","10","Success","0.00041"
"5HPJ","4","1","1","Success","0.00067"
"1R2D","4","111","111","Success","0.00086"
"3CAN","4","110","110","Success","0.00078"
"5SYL","4","10","10","Success","0.00026"
"5OMC","4","100","100","Success","0.00047"
"5W43","4","10","10","Success","0.0005"
"4OLI","4","100","100","Success","0.00041"
"3JX3","4","1110","1110","Success","0.00035"
"3CHL","4","111","111","Success","0.00056"
"1XJG","4","1101","1101","Success","0.00028"
"5ZA2","4","1","1","Success","0.00037"
"6F0H","4","110","110","Success","0.00053"
"4J9R","4","1011","1011","Success","0.00047"
"4XQN","4","0","0","Success","0.0005"
"3KLW","4","111","111","Success","0.00074"
"7K8S","4","1010","1010","Success","0.00017"
"1YDA","4","1010","1010","Success","0.00061"
"2Z76","4","1011","1011","Success","0.00062"
"5IO8","4","100","100","Success","0.00067"
"7FBT","4","1010","1010","Success","0.00055"
"5FQ7","4","1","1","Success","0.00017"
"1KB4","4","1111","1111","Success","0.0007"
"2RIW","4","1010","1010","Success","0.0005"
"1QJW","4","110","110","Success","0.00036"
"2P5Z","4","10","10","Success","0.00049"
"5VCP","4","1","1","Success","0.00039"
"8WHA","4","1","1","Success","0.00024"
"7M1D","4","1010","1010","Success","0.00031"
"3EP0","4","1101","1101","Success","0.00067"
"7PF8","4","1011","1011","Success","0.00071"
"6RJD","4","101","101","Success","0.00034"
"2YX1","4","1010","1010","Success","0.00039"
"9F7Y","4","110","110","Success","0.00055"
"4Y7R","4","1011","1011","Success","0.00053"
"8J8T","4","100","100","Success","0.00065"
"2NXN","4","100","100","Success","0.0005"
"4IPI","4","1010","1010","Success","0.0005"
"2P9H","4","10","10","Success","0.00043"
"3OTD","4","1","1","Success","0.00047"
"5WL3","4","1101","1101","Success","0.00035"
"1Q06","4","10","10","Success","0.00064"
"2JLG","4","110","110","Success","0.00023"
"2JGV","4","1001","1001","Success","0.00029"
"1O0Q","4","100","100","Success","0.00045"
"2QHE","4","1001","1001","Success","0.00087"
"3BKW","4","1110","1110","Success","0.00048"
"6ZRP","4","1111","1111","Success","0.0003"
"8UL7","4","10","10","Success","0.00051"
"4BBP","4","110","110","Success","0.0006"
"2D6O","4","110","110","Success","0.0008"
"8TB5","4","1","1","Success","0.00044"
"5YW3","4","111","111","Success","0.00043"
"6VEQ","4","1","1","Success","0.0003"
"3J1A","4","1","1","Success","0.00033"
"6HQB","4","1010","1010","Success","0.00021"
"2W87","4","111","111","Success","0.00058"
"7VXH","4","1001","1001","Success","0.00035"
"8RE4","4","1001","1001","Success","0.00017"
"8ISC","4","1110","1110","Success","0.00027"
"8ZBC","4","1","1","Success","0.00026"
"5R1R","4","10","10","Success","0.00021"
"2V3R","4","110","110","Success","0.00047"
"2DWI","4","101","101","Success","0.00055"
"7C8X","4","1001","1001","Success","0.0004"
"6FPL","4","1100","1100","Success","0.0007"
"7PZC","4","1100","1100","Success","0.00011"
"7BWF","4","100","100","Success","0.00053"
"1YIN","4","100","100","Success","0.00063"
"1Q4L","4","1000","1000","Success","0.00039"
"7K0F","4","1110","1110","Success","0.00041"
"3R8W","4","1001","1001","Success","0.00026"
"1RSE","4","10","10","Success","0.00081"
"3.00E+62","4","1101","1101","Success","0.00057"
"8G5S","4","1000","1000","Success","0.00037"
"3F63","4","10","10","Success","0.00046"
"1I72","4","1000","1000","Success","0.00057"
"5IPF","4","0","0","Success","0.00035"
"4E0D","4","110","110","Success","0.00041"
"7XZ1","4","100","100","Success","0.00036"
"6R4J","4","1111","1111","Success","0.00026"
"2Q76","4","11","11","Success","0.00035"
"5XJ8","4","1101","1101","Success","0.0005"
"4Q3L","4","11","11","Success","0.00021"
"3AMY","4","1000","1000","Success","0.00055"
"5N4L","4","101","101","Success","0.00022"
"3OI8","4","1010","1010","Success","0.00058"
"8RGK","4","111","111","Success","0.00029"
"6PWP","4","11","11","Success","0.00023"
"3GP8","4","101","101","Success","0.00042"
"1FDD","4","0","0","Success","0.00094"
"3S7P","4","100","100","Success","0.00056"
"2QYO","4","1","1","Success","0.00037"
"3VWO","4","0","0","Success","0.00079"
"6H19","4","1110","1110","Success","0.00043"
"2KKT","4","11","11","Success","0.0003"
"8PF2","4","101","101","Success","0.00052"
"3AU8","4","1001","1001","Success","0.00035"
"5GI7","4","1010","1010","Success","0.00069"
"3FQA","4","1100","1100","Success","0.00035"
"3ALW","4","1001","1001","Success","0.00044"
"8HI7","4","10","10","Success","0.00042"
"1UYD","4","1000","1000","Success","0.00069"
"7KFH","4","100","100","Success","0.00024"
"7PV1","4","1","1","Success","0.00043"
"7ZVX","4","100","100","Success","0.0004"
"1X1F","4","1011","1011","Success","0.00018"
"7UE4","4","1010","1010","Success","0.0005"
"4ACL","4","111","111","Success","0.00055"
"6NN7","4","1011","1011","Success","0.00016"
"7JGV","4","1101","1101","Success","0.00058"
"6TOT","4","1110","1110","Success","0.00041"
"3HG3","4","1010","1010","Success","0.00036"
"4TZK","4","1010","1010","Success","0.00059"
"3HSQ","4","1","1","Success","0.00036"
"2KFZ","4","1101","1101","Success","0.0004"
"2P85","4","1010","1010","Success","0.00019"
"8DIH","4","1100","1100","Success","0.00056"
"1ZXC","4","1111","1111","Success","0.00042"
"8TKL","4","11","11","Success","0.00039"
"9AW2","4","1010","1010","Success","0.00065"
"2NNH","4","1100","1100","Success","0.00033"
"4DGX","4","1001","1001","Success","0.00045"
"3QZN","4","1111","1111","Success","0.00051"
"2JMD","4","101","101","Success","0.00018"
"1Y0T","4","0","0","Success","0.00042"
"5A8F","4","1000","1000","Success","0.00039"
"4F9C","4","1001","1001","Success","0.0005"
"2PZV","4","1","1","Success","0.00044"
"8SXO","4","1111","1111","Success","0.00055"
"8W0L","4","1001","1001","Success","0.00023"
"2Z2T","4","1101","1101","Success","0.00068"
"5Q3F","4","1101","1101","Success","0.00051"
"3P4V","4","100","100","Success","0.00063"
"2QGD","4","1011","1011","Success","0.00064"
"1P6O","4","110","110","Success","0.00056"
"3ENT","4","1001","1001","Success","0.00067"
"5JW6","4","1000","1000","Success","0.00037"
"3EGX","4","10","10","Success","0.00025"
"8C84","4","1001","1001","Success","0.00072"
"7W1W","4","111","111","Success","0.0004"
"6NG3","4","1000","1000","Success","0.00068"
"5Z9X","4","10","10","Success","0.00058"
"9IR6","4","1000","1000","Success","0.00033"
"1Q8M","4","1111","1111","Success","0.00045"
"6UAR","4","1111","1111","Success","0.00064"
"8XI5","4","10","10","Success","0.00015"
"4FS4","4","1","1","Success","0.00035"
"7BCA","4","111","111","Success","0.00074"
"5ZFK","4","1011","1011","Success","0.00038"
"244L","4","100","100","Success","0.00079"
"3UU5","4","1101","1101","Success","0.00025"
"6EUH","4","100","100","Success","0.0003"
"4ZGY","4","1010","1010","Success","0.00043"
"8K9T","4","1110","1110","Success","0.00032"
"6RU5","4","11","11","Success","0.00024"
"8ZI5","4","110","110","Success","0.00027"
"4HFD","4","1000","1000","Success","0.00024"
"4N96","4","11","11","Success","0.00036"
"5J1V","4","1101","1101","Success","0.00032"
"1G0O","4","110","110","Success","0.0003"
"7KT5","4","1001","1001","Success","0.00055"
"4Y7N","4","11","11","Success","0.00016"
"7XM7","4","0","0","Success","0.00047"
"2C70","4","10","10","Success","0.00031"
"6JID","4","100","100","Success","0.00041"
"5Z74","4","1100","1100","Success","0.00032"
"1ZL3","4","1001","1001","Success","0.00057"
"7WWY","4","11","11","Success","0.00056"
"2KFN","4","11","11","Success","0.00041"
"1CW1","4","101","101","Success","0.0005"
"8Q3C","4","1101","1101","Success","0.00029"
"6JUS","4","1100","1100","Success","0.00037"
"1A8S","4","0","0","Success","0.0006"
"9BV2","4","1100","1100","Success","9.00E-05"
"4XKY","4","100","100","Success","0.00029"
"4P52","4","100","100","Success","0.00057"
"7R9K","4","110","110","Success","0.00044"
"3GNY","4","111","111","Success","0.00129"
"8PK3","4","1000","1000","Success","0.00024"
"4UFB","4","10","10","Success","0.0002"
"1IK3","4","11","11","Success","0.00033"
"8Y80","4","1001","1001","Success","0.00016"
"5AW0","4","1000","1000","Success","0.00027"
"7KU0","4","1011","1011","Success","0.00062"
"1HJD","4","111","111","Success","0.00022"
"2IWU","4","101","101","Success","0.00069"
"3F19","4","101","101","Success","0.00078"
"6Z6H","4","1000","1000","Success","0.00014"
"1N4N","4","0","0","Success","0.00033"
"1X80","4","1110","1110","Success","0.00038"
"5ORY","4","1010","1010","Success","0.0006"
"2K45","4","1001","1001","Success","0.00019"
"4B1Y","4","10","10","Success","0.00046"
"6VZ0","4","1110","1110","Success","0.00081"
"2ZZ7","4","1111","1111","Success","0.00062"
"6UVI","4","0","0","Success","0.00057"
"1KHJ","4","10","10","Success","0.00033"
"6OA9","4","1101","1101","Success","0.00016"
"4ZGR","4","0","0","Success","0.00044"
"3S6O","4","1111","1111","Success","0.00029"
"3NHP","4","100","100","Success","0.00045"
"6RQ9","4","100","100","Success","0.00048"
"7MWB","4","101","101","Success","0.00024"
"8EHB","4","1010","1010","Success","0.00041"
"2MXA","4","1010","1010","Success","0.00028"
"8UG4","4","10","10","Success","0.00032"
"5DBH","4","1101","1101","Success","0.00055"
"3FRS","4","110","110","Success","0.00075"
"4YW1","4","111","111","Success","0.00027"
"4KXO","4","1011","1011","Success","0.00062"
"3IJG","4","11","11","Success","0.00054"
"6G3N","4","1100","1100","Success","0.00033"
"6MM8","4","1110","1110","Success","0.00041"
"6CRZ","4","1101","1101","Success","0.00017"
"8KBY","4","111","111","Success","0.00034"
"1AUX","4","101","101","Success","0.00041"
"3O0X","4","1100","1100","Success","0.00043"
"6OHU","4","10","10","Success","0.0004"
"1GF7","4","10","10","Success","0.00085"
"5F4Z","4","110","110","Success","0.00022"
"3FCT","4","0","0","Success","0.00033"
"7EA0","4","11","11","Success","0.00054"
"7TIK","4","1011","1011","Success","0.00054"
"7MY5","4","101","101","Success","0.00075"
"3SAF","4","1011","1011","Success","0.00036"
"1S18","4","1100","1100","Success","0.00038"
"4IX7","4","1011","1011","Success","0.00064"
"7E1A","4","10","10","Success","0.00029"
"3AYR","4","10","10","Success","0.00052"
"4ZT2","4","1111","1111","Success","0.00031"
"2GFF","4","10","10","Success","0.00072"
"7LDA","4","11","11","Success","0.00047"
"5I09","4","110","110","Success","0.00051"
"4LP9","4","110","110","Success","0.00053"
"3KHK","4","101","101","Success","0.00032"
"8J6Z","4","110","110","Success","0.00016"
"8E3K","4","1100","1100","Success","0.00106"
"8EHV","4","1101","1101","Success","0.00041"
"6WV1","4","101","101","Success","0.00031"
"1LOE","4","1101","1101","Success","0.00046"
"4XQ8","4","1110","1110","Success","0.00044"
"2YM0","4","1001","1001","Success","0.00051"
"2DLM","4","10","10","Success","0.00027"
"4ZUV","4","1111","1111","Success","0.00036"
"6HTI","4","11","11","Success","0.00025"
"7FGQ","4","100","100","Success","0.00073"
"2CJB","4","10","10","Success","0.00031"
"4GMB","4","1010","1010","Success","0.00055"
"2BKF","4","1110","1110","Success","0.00105"
"6IM4","4","101","101","Success","0.00035"
"5WQL","4","0","0","Success","0.00024"
"5CZJ","4","1010","1010","Success","0.00039"
"4QM0","4","1101","1101","Success","0.00044"
"4LN6","4","1","1","Success","0.00019"
"8I71","4","1001","1001","Success","0.00033"
"3PP1","4","100","100","Success","0.00058"
"1ZW3","4","10","10","Success","0.00061"
"7.00E+06","4","0","0","Success","0.00043"
"7VWZ","4","110","110","Success","0.00016"
"3CFR","4","0","0","Success","0.00033"
"3NEC","4","100","100","Success","0.00039"
"5YX6","4","1","1","Success","0.00026"
"3S2Q","4","1","1","Success","0.00085"
"1C5E","4","11","11","Success","0.00057"
"7GAV","4","11","11","Success","0.0004"
"5J0H","4","100","100","Success","0.00081"
"1GSL","4","101","101","Success","0.00066"
"1FV2","4","1011","1011","Success","0.00048"
"8EF3","4","1011","1011","Success","0.00033"
"5D6M","4","1101","1101","Success","0.00056"
"8FSV","4","11","11","Success","0.00088"
"4RZ5","4","100","100","Success","0.00038"
"3VF9","4","110","110","Success","0.00062"
"3JRW","4","1000","1000","Success","0.00045"
"5PG0","4","1101","1101","Success","0.00093"
"8ZI7","4","101","101","Success","0.00048"
"6L5S","4","11","11","Success","0.00045"
"6FHU","4","101","101","Success","0.00069"
"4Q6T","4","1","1","Success","0.00054"
"5JR4","4","1000","1000","Success","0.00059"
"1RML","4","1000","1000","Success","0.00017"
"6AHQ","4","100","100","Success","0.00021"
"4OCM","4","10","10","Success","0.00033"
"7RXS","4","1101","1101","Success","0.00091"
"1GM6","4","1101","1101","Success","0.00078"
"5Z4J","4","1","1","Success","0.00053"
"3W0F","4","1010","1010","Success","0.00061"
"1L95","4","1111","1111","Success","0.00079"
"9H8J","4","0","0","Success","0.00032"
"4U7L","4","100","100","Success","0.00047"
"4E7A","4","11","11","Success","0.00042"
"1JKA","4","1000","1000","Success","0.00088"
"6Y20","4","1","1","Success","0.00045"
"1YBJ","4","11","11","Success","0.00024"
"7GK9","4","10","10","Success","0.00039"
"8R9Y","4","100","100","Success","0.00032"
"3DXG","4","100","100","Success","0.00063"
"8IKR","4","1111","1111","Success","0.00052"
"7JQD","4","1001","1001","Success","0.00091"
"3KKZ","4","10","10","Success","0.00045"
"1D4E","4","11","11","Success","0.00042"
"5Q0U","4","100","100","Success","0.00045"
"5D47","4","101","101","Success","0.00083"
"4J9X","4","0","0","Success","0.0004"
"7XP4","4","100","100","Success","0.00031"
"3TUI","4","10","10","Success","0.00021"
"2YZK","4","1","1","Success","0.00038"
"4MN5","4","1101","1101","Success","0.00072"
"5L7V","4","0","0","Success","0.0003"
"2XE0","4","1001","1001","Success","0.00054"
"5VKJ","4","1111","1111","Success","0.00055"
"4G1B","4","100","100","Success","0.00025"
"4EGA","4","101","101","Success","0.0003"
"9LW9","4","1001","1001","Success","0.00029"
"6FYB","4","110","110","Success","0.00023"
"7WWZ","4","1000","1000","Success","0.00087"
"5HCI","4","100","100","Success","0.00026"
"8UVH","4","1111","1111","Success","0.00033"
"7RCW","4","1011","1011","Success","0.00035"
"7WHC","4","0","0","Success","0.00037"
"7GO0","4","1","1","Success","0.00052"
"2Z46","4","101","101","Success","0.00038"
"5T7C","4","1000","1000","Success","0.00022"
"8XLS","4","0","0","Success","0.00017"
"5MGL","4","1010","1010","Success","0.00099"
"7KDL","4","1001","1001","Success","0.00019"
"8D7W","4","1111","1111","Success","0.00026"
"5IZ5","4","1000","1000","Success","0.00026"
"8QV8","4","101","101","Success","0.00046"
"3DGZ","4","0","0","Success","0.00044"
"3LCN","4","1001","1001","Success","0.00064"
"2LUP","4","1110","1110","Success","0.00026"
"4YOX","4","1001","1001","Success","0.00038"
"1PV6","4","111","111","Success","0.00033"
"5FVA","4","111","111","Success","0.00027"
"6AJY","4","101","101","Success","0.00083"
"3LG2","4","110","110","Success","0.00031"
"5ZRP","4","1110","1110","Success","0.00089"
"5PQN","4","110","110","Success","0.0006"
"3X1Y","4","1100","1100","Success","0.00074"
"1OZM","4","1101","1101","Success","0.00052"
"5K68","4","0","0","Success","0.00091"
"8BTC","4","101","101","Success","0.00053"
"8U2P","4","1001","1001","Success","0.0005"
"2XSC","4","1100","1100","Success","0.00052"
"5WTN","4","1100","1100","Success","0.00029"
"2DVW","4","0","0","Success","0.00055"
"3Q4Y","4","110","110","Success","0.00092"
"2BRW","4","1011","1011","Success","0.00026"
"3CXD","4","111","111","Success","0.00048"
"8IQT","4","101","101","Success","0.00062"
"1EB8","4","1","1","Success","0.00044"
"7ZWE","4","100","100","Success","0.00055"
"7P8Z","4","10","10","Success","0.00048"
"6SC1","4","111","111","Success","0.00056"
"2WTZ","4","11","11","Success","0.00023"
"7BFP","4","1110","1110","Success","0.00027"
"5KJ8","4","111","111","Success","0.00027"
"1ND3","4","1001","1001","Success","0.00035"
"5HGE","4","10","10","Success","0.00065"
"5OXH","4","1101","1101","Success","0.00115"
"6GBE","4","10","10","Success","0.00019"
"3CH4","4","1010","1010","Success","0.0007"
"6GUO","4","110","110","Success","0.00027"
"7AKV","4","1","1","Success","0.00035"
"7NAT","4","110","110","Success","0.0002"
"5J06","4","1010","1010","Success","0.00035"
"6FDP","4","1","1","Success","0.00019"
"4BWT","4","11","11","Success","0.00062"
"7A4C","4","1","1","Success","0.00039"
"5JQY","4","100","100","Success","0.00046"
"3NTJ","4","111","111","Success","0.00026"
"6UJY","4","1101","1101","Success","0.00033"
"6F2Y","4","1011","1011","Success","0.00026"
"4ERY","4","1100","1100","Success","0.00055"
"9E9Y","4","100","100","Success","0.00015"
"6YN0","4","0","0","Success","0.00038"
"7KVK","4","1010","1010","Success","0.00033"
"3VL4","4","1100","1100","Success","0.00053"
"2BKI","4","110","110","Success","0.0003"
"6LFU","4","1100","1100","Success","0.00057"
"3WCV","4","1111","1111","Success","0.00029"
"8WXJ","4","11","11","Success","0.00032"
"3O6N","4","111","111","Success","0.00051"
"8W86","4","101","101","Success","0.00027"
"6MUW","4","101","101","Success","0.00013"
"4HE8","4","111","111","Success","0.00014"
"8BT2","4","1","1","Success","0.00051"
"3CED","4","101","101","Success","0.00056"
"8IGQ","4","1011","1011","Success","0.00029"
"6W1C","4","1010","1010","Success","0.00015"
"5Y6E","4","1000","1000","Success","0.00047"
"4CC4","4","1110","1110","Success","0.00031"
"8TZI","4","1100","1100","Success","0.00051"
"2LVK","4","1001","1001","Success","0.00025"
"4CIO","4","1011","1011","Success","0.00026"
"2K1Z","4","100","100","Success","0.00022"
"1ACJ","4","101","101","Success","0.00043"
"5QRX","4","1110","1110","Success","0.00074"
"5AR7","4","11","11","Success","0.00042"
"3BGU","4","1011","1011","Success","0.00068"
"5ZRD","4","10","10","Success","0.00022"
"5EFK","4","110","110","Success","0.00051"
"1BJF","4","11","11","Success","0.00051"
"5O0Y","4","10","10","Success","0.00059"
"7VYS","4","1010","1010","Success","0.00014"
"4RSG","4","101","101","Success","0.00079"
"3GIR","4","1","1","Success","0.00051"
"4CVB","4","1100","1100","Success","0.00042"
"5ITY","4","1101","1101","Success","0.00034"
"8P0W","4","10","10","Success","0.00021"
"1IAI","4","100","100","Success","0.00034"
"6QP9","4","1101","1101","Success","0.00031"
"4K9A","4","11","11","Success","0.00051"
"3U92","4","11","11","Success","0.00043"
"5ITP","4","1110","1110","Success","0.00045"
